EfficientSU2-RT,EfficientSU2-EIG,Classic-EIG
151.6033809185028,-1.7208497389235053,-2.3244435317173626
146.16027235984802,-2.305923117325178,-2.4737302834428587
151.84320211410522,-1.920035688871654,-2.0219363496052436
151.86188054084778,-0.992434265500828,-1.5818481082272702
168.21459865570068,-1.352872272716772,-2.083470937143418
147.25872945785522,-1.586261331900483,-1.8128694410402169
162.76456260681152,-1.769827662554846,-2.221471499714447
153.09093642234802,-1.0874352382802839,-2.485220977881464
152.2611949443817,-1.7769947929882166,-2.178717446311879
153.2259111404419,-1.7609504875875546,-2.4309287525335614
