EfficientSU2-RT,EfficientSU2-EIG,Classic-EIG
126.03023433685303,-2.0007387157785677,-2.3244435317173626
31.86475896835327,-1.6178421800166105,-2.4737302834428587
136.1185441017151,-1.812735522163069,-2.0219363496052436
141.72935700416565,-1.2533582344195635,-1.5818481082272702
136.24341297149658,-1.471058086428409,-2.083470937143418
125.80734610557556,-1.3981291464425978,-1.8128694410402169
125.62977766990662,-2.0621122943160612,-2.221471499714447
137.11487674713135,-2.355238143781884,-2.485220977881464
131.46476674079895,-1.8508555957659338,-2.178717446311879
131.53343725204468,-1.684059477982227,-2.4309287525335614
