EfficientSU2-RT,EfficientSU2-EIG,Classic-EIG
27.260090112686157,-1.1843078257257251,-1.2087092456273374
31.691215753555298,-0.7892920150485498,-1.2560507162065968
26.60968041419983,-1.0747584877515193,-1.4002023881201262
21.506118297576904,-0.8987740958422631,-1.0917049198420512
31.541306972503662,-1.0355195814040292,-1.3565449117840864
26.4218909740448,-0.7552706687439017,-1.5336852242884305
31.954044580459595,-0.9634014902081216,-1.1559143778329812
26.490549087524414,-0.9013006858206898,-1.0146691319223757
26.523937463760376,-0.6258341012226052,-0.9076543199604511
37.06593322753906,-0.8796902654478632,-1.4483948502266482
