EfficientSU2-RT,EfficientSU2-EIG,Classic-EIG
46.10123062133789,-0.04426565575158006,-8.081317547014788
39.72882318496704,-0.0,-8.084231205105816
37.42622661590576,-0.0,-8.038857933466682
39.9945433139801,-0.5143047741096027,-8.100965101159442
34.82837438583374,-0.034762885170876195,-8.397341606185503
35.34945321083069,-0.0,-8.608015908815982
40.729085206985474,-0.014254888897718952,-8.181306139713191
41.48613500595093,-0.14666868917098183,-8.117623249036722
52.2794029712677,-0.05460279319583101,-8.45645018013885
47.63499641418457,-0.011659422744726066,-8.20124006807809
