PQC,AVG-RUNTIME,MAE,RMSE,NRMSE
RealAmplitudes,15.120215439796448,1.9190977468846024,1.945462257757652,3.1076137684385285
EfficientSU2,20.897690105438233,2.098976843036064,2.1545480575334253,3.4416001552611073
PauliTwoDesign,17.645103788375856,2.1496079839487563,2.20500870034112,3.522204231607566
ExcitationPreserving,10.851775979995727,1.2373530085811084,1.2518309698039813,1.9996312660439262
