RealAmplitudes-RT,RealAmplitudes-EIG,EfficientSU2-RT,EfficientSU2-EIG,PauliTwoDesign-RT,PauliTwoDesign-EIG,ExcitationPreserving-RT,ExcitationPreserving-EIG,Classic-EIG
16.079508066177368,0.5440410157675993,15.975432395935059,0.5440410157675993,10.75832748413086,0.5482164990061504,10.895405054092407,0.0,-0.5488135039273248
10.958884954452515,0.7148772355348127,16.077606201171875,0.7151799667025573,16.075098276138306,0.3871422515078125,5.655470371246338,0.0,-0.7151893663724195
10.802128076553345,0.5954989648146722,16.281984567642212,0.22534151019915094,16.077422857284546,0.44922941524868065,5.633439779281616,0.0,-0.6027633760716439
21.813891172409058,0.5363275299006512,15.921369314193726,0.47946073489954566,11.021010637283325,0.5436715755721534,5.6335039138793945,0.0,-0.5448831829968969
10.841219663619995,0.4230320869862086,16.28207778930664,0.42344788611565226,11.060691118240356,0.3468469959119558,5.5892181396484375,0.0,-0.4236547993389047
15.053317785263062,0.5154812402117285,21.23883056640625,0.5736779292763265,16.078718662261963,0.45502406794750594,11.053378343582153,0.0,-0.6458941130666561
10.856642961502075,0.3664937369904403,16.28307580947876,0.41549575574910325,10.854848861694336,0.22713508254098133,21.299931526184082,0.0,-0.4375872112626925
10.855751991271973,0.2752561981166738,16.077523469924927,0.8903413762257553,10.852562665939331,0.6453158741238672,10.957133054733276,0.0,-0.8917730007820798
10.856399774551392,0.8873988234221784,21.300129652023315,0.8524773942692809,26.829402208328247,0.8513578776929632,5.6329286098480225,0.0,-0.9636627605010293
10.872466087341309,0.3642994484424569,10.856017351150513,0.2454321981754376,10.855618476867676,0.3150994366889389,5.6304931640625,0.0,-0.3834415188257777
