EfficientSU2-RT,EfficientSU2-EIG,Classic-EIG
214.2689962387085,-3.0753090335242277,-4.146904423901448
159.49868488311768,-3.6747030124316917,-4.073692324904209
159.48180294036865,-2.983683478426419,-4.248449378644601
208.38152480125427,-3.319639143749419,-3.891247933603567
213.7632176876068,-3.5031342711510973,-4.226756016838705
219.13452172279358,-2.8144472332990507,-4.099728690065527
206.58973383903503,-3.0599834059570195,-3.815156316532847
207.86929655075073,-3.4017885366625964,-4.280064087789053
207.61066794395447,-3.3991554547705563,-4.382314844495509
152.82952642440796,-2.2733883636748633,-4.102511736258107
