EfficientSU2-RT,EfficientSU2-EIG,Classic-EIG
26.141184329986572,-0.9732818089629038,-1.2087092456273374
31.424888610839844,-1.1145641133748772,-1.2560507162065968
31.789120197296143,-1.2715657255712256,-1.4002023881201262
26.135193586349487,-0.2534520740068975,-1.0917049198420512
26.48619508743286,-1.1942580094756088,-1.3565449117840864
26.111403226852417,-1.2488247553486187,-1.5336852242884305
26.141584634780884,-0.6188919821085568,-1.1559143778329812
26.168028116226196,-0.7490810928012004,-1.0146691319223757
21.128576517105103,-0.7132564858109136,-0.9076543199604511
31.373595714569092,-1.2646853192765346,-1.4483948502266482
