PQC,AVG-RUNTIME,MAE,MSE,RMSE,NRMSE
RealAmplitudes,-0.005638863999047316,2.6732468860233047,7.302199166638937,2.702258160620287,2.9912987774967132
EfficientSU2,0.00018152340126107447,2.8860644411976892,8.491725789367859,2.91405658650752,3.2257517182500792
PauliTwoDesign,-1.1278796591795981e-05,2.495358328890533,6.343346407721653,2.5186000888830393,2.7879961569436396
ExcitationPreserving,0.0005710854013159406,2.161463732761772,4.750767928660467,2.1796256395675995,2.412764111902042
