PQC,AVG-RUNTIME,MAE,MSE,RMSE,NRMSE
RealAmplitudes,0.000909050898917485,0.7013803831587161,0.5489862158763112,0.7409360403410751,1.2769888227494008
EfficientSU2,0.0008069820003584027,0.6650860619649235,0.48759014272799384,0.6982765517529526,1.203466025712613
PauliTwoDesign,0.0006270334008149803,0.7025940090625602,0.5305555599772532,0.7283924491489826,1.2553701878371804
ExcitationPreserving,0.001341278600739315,0.6511298665616,0.45244966613373006,0.6726437884450656,1.1592884578009688
