PQC,AVG-RUNTIME,MAE,MSE,RMSE,NRMSE
RealAmplitudes,-0.003396190798957832,2.666618463452917,7.471292381091638,2.733366492274982,3.0257345378562235
EfficientSU2,-0.00019123399979434908,2.601215325365803,6.899179007984604,2.6266288295045808,2.907579934861272
PauliTwoDesign,-1.7521015251986682e-06,2.697183406791445,7.666144348119313,2.7687802997203144,3.064936298983817
ExcitationPreserving,-4.821889669983648e-05,2.161463732761772,4.750767928660467,2.1796256395675995,2.412764111902042
