PQC,AVG-RUNTIME,MAE,MSE,RMSE,NRMSE
RealAmplitudes,-0.004869274099473841,2.6527392807789782,7.236448146575697,2.6900647104810873,2.9778010839652844
EfficientSU2,9.362769851577468e-05,2.8764603065142067,8.409903332462738,2.899983333135337,3.2101731528039306
PauliTwoDesign,0.00014477250078925863,2.6043326508060196,6.909667807996688,2.628624698962689,2.909789287748826
ExcitationPreserving,-7.383440024568699e-05,2.161463732761772,4.750767928660467,2.1796256395675995,2.412764111902042
