PQC,AVG-RUNTIME,MAE,MSE,RMSE,NRMSE
RealAmplitudes,-0.0069366147010441635,2.385053600364043,5.813164043903027,2.4110504026052686,2.6689426742782367
EfficientSU2,0.00010709689850045834,2.2999079442085333,5.4123632563605915,2.3264486360890477,2.5752916810304476
PauliTwoDesign,-0.00011807709961431101,2.8441692189975885,8.365747772867934,2.8923602425818147,3.20173467650074
ExcitationPreserving,0.00010245130106341094,2.161463732761772,4.750767928660467,2.1796256395675995,2.412764111902042
