PQC,AVG-RUNTIME,MAE,MSE,RMSE,NRMSE
RealAmplitudes,-0.011477597900375258,4.593004732913359,21.164823410652588,4.60052425389244,8.111531480304757
EfficientSU2,-0.00011070599939557723,5.246141710419655,27.888451237894753,5.280951735993688,9.31124452093463
PauliTwoDesign,-0.0001434300997061655,4.85551442382056,24.183045769213813,4.917626029825144,8.670637550827566
ExcitationPreserving,-0.0005562212980294134,4.126682575303358,17.05658120782484,4.129961405125337,7.281846611671201
