RealAmplitudes-RT,RealAmplitudes-EIG,EfficientSU2-RT,EfficientSU2-EIG,PauliTwoDesign-RT,PauliTwoDesign-EIG,ExcitationPreserving-RT,ExcitationPreserving-EIG,Classic-EIG
37.16988158226013,-1.4305680517444472,84.58260035514832,-2.0813304326331097,37.684404134750366,-1.5917308820871328,5.835236310958862,-0.0,-2.3244435317173626
42.48173689842224,-0.9731422409341085,104.72398710250854,-1.8944490003012666,37.14962339401245,-1.611176248758408,11.172572135925293,-0.0,-2.4737302834428587
47.56865835189819,-1.420513442823755,94.82512974739075,-1.9229530987927772,37.46644830703735,-1.102977972851196,5.838948488235474,-0.0,-2.0219363496052436
37.06983780860901,-1.120529376985131,90.11471366882324,-1.0806546971315403,37.47404503822327,-0.9172065739575146,5.635687351226807,-0.0,-1.5818481082272702
42.29182839393616,-0.7895166188964012,100.39744663238525,-1.2461197075787624,31.910767316818237,-1.4319003201225353,10.694498538970947,-0.0,-2.083470937143418
52.635454177856445,-0.6510545533632579,94.72356986999512,-1.2280078410125488,37.02969479560852,-1.3442640276637507,5.633447647094727,-0.0,-1.8128694410402169
42.189783573150635,-0.7351728646549481,90.12622213363647,-1.7848177091384874,37.276023864746094,-1.7927103391329315,10.789780378341675,-0.0,-2.221471499714447
31.84719204902649,-1.9344001655957952,95.37879920005798,-1.8148474146412283,36.76587390899658,-1.6679984262683052,5.747109889984131,-0.0,-2.485220977881464
42.174437046051025,-1.353396726798595,95.17643618583679,-0.6108752493051995,47.731940507888794,-1.6373672973098425,6.042003154754639,-0.0,-2.178717446311879
42.29704141616821,-1.1431723883035398,79.57087397575378,-1.930401854224297,42.90661549568176,-1.6482179117440912,11.06489634513855,-0.0,-2.4309287525335614
