PQC,AVG-RUNTIME,MAE,RMSE,NRMSE
RealAmplitudes,101.60968673229218,1.6311714044213423,1.737915526361718,3.064250012434144
EfficientSU2,195.11772267818452,0.9363092505227091,1.0138181527211496,1.7875392905806622
PauliTwoDesign,90.75340650081634,2.4807372742491935,2.6490617176839106,4.670760619962515
ExcitationPreserving,10.907715392112731,4.126682575303358,4.129961405125337,7.281846611671201
