RealAmplitudes-RT,RealAmplitudes-EIG,EfficientSU2-RT,EfficientSU2-EIG,ExcitationPreserving-RT,ExcitationPreserving-EIG,Classic-EIG
37.17321443557739,-1.424458839506749,85.50625991821289,-1.703122741035015,10.807671070098877,-0.0,-2.3244435317173626
37.68581461906433,-1.9293792704571302,99.74185514450073,-1.3963531742397106,5.837275981903076,-0.0,-2.4737302834428587
37.06990361213684,-1.6414254111763897,100.35425639152527,-1.0644644087689756,10.856313705444336,-0.0,-2.0219363496052436
31.834218502044678,-0.8005515241180433,100.55815744400024,-1.425769243203137,10.737458229064941,-0.0,-1.5818481082272702
42.29305696487427,-1.8319237189794737,89.86917114257812,-1.341669997345075,11.161659002304077,-0.0,-2.083470937143418
31.949862718582153,-0.34885508718901115,95.46081900596619,-1.4044963687399235,11.265399932861328,-0.0,-1.8128694410402169
42.394957304000854,-1.535525261903744,100.34021663665771,-1.5963448686574953,16.69218635559082,-0.0,-2.221471499714447
36.96735882759094,-1.633695590797065,105.88199043273926,-2.1600199481230975,5.6328043937683105,-0.0,-2.485220977881464
48.089133501052856,-1.749720843243142,95.9040699005127,-1.4171926370193066,11.054224967956543,-0.0,-2.178717446311879
42.49748373031616,-1.1053412000747544,81.20529294013977,-2.15071473694882,15.946908950805664,-0.0,-2.4309287525335614
