PQC,AVG-RUNTIME,MAE,RMSE,NRMSE
RealAmplitudes,94.32178523540497,1.6872361025673026,1.7770554268117646,3.1332605245226146
EfficientSU2,174.9632577419281,1.166653965268878,1.1897086222482371,2.097665050584516
ExcitationPreserving,11.71388897895813,4.126682575303358,4.129961405125337,7.281846611671201
