RealAmplitudes-RT,RealAmplitudes-EIG,EfficientSU2-RT,EfficientSU2-EIG,Classic-EIG
11.839195966720581,0.40190992561021943,12.710076570510864,0.7464374070052665,0.771320643266746
12.801710367202759,0.020391600353575377,11.798136472702026,0.020450164894887247,0.0207519493594015
6.8397955894470215,0.0,12.883371591567993,0.2541832919305156,0.6336482349262754
7.679738759994507,0.5572518546860252,11.911005735397339,0.7068361334844306,0.7488038825386119
7.780313730239868,0.23046441147588734,12.894556522369385,0.26291881296976827,0.4985070123025904
6.656481742858887,0.10222369087496537,11.64319372177124,0.17652833958449737,0.22479664553084766
6.883929014205933,0.184074388121502,12.396803855895996,0.16215444685340774,0.19806286475962398
6.78646993637085,0.08220917579267488,11.537533283233643,0.7568955314546356,0.7605307121989587
12.53841233253479,0.13607496265784463,12.544464826583862,0.12614616377051172,0.16911083656253545
6.837046146392822,0.0,11.88024616241455,0.08282935875488669,0.08833981417401027
