EfficientSU2-RT,EfficientSU2-EIG,Classic-EIG
320.52000761032104,-2.7355248239132113,-4.146904423901448
382.7219204902649,-3.3325823939624812,-4.073692324904209
385.2808804512024,-3.334223026785775,-4.248449378644601
381.6340847015381,-3.0008775964784613,-3.891247933603567
391.4266154766083,-3.2265024030777814,-4.226756016838705
265.701384305954,-2.4077289140195077,-4.099728690065527
396.2714786529541,-3.1789645940959095,-3.815156316532847
390.7356011867523,-3.1795016676257215,-4.280064087789053
388.3622992038727,-2.4107002786186547,-4.382314844495509
360.45926547050476,-3.189019141540247,-4.102511736258107
