EfficientSU2-RT,EfficientSU2-EIG,Classic-EIG
27.906105279922485,-0.22106808659904909,-0.5488135039273248
33.538352966308594,-0.6990595823710459,-0.7151893663724195
34.68532633781433,-0.5792023033139394,-0.6027633760716439
34.190598249435425,-0.5448821437137116,-0.5448831829968969
30.72288203239441,-0.42265667009839836,-0.4236547993389047
30.0148823261261,-0.23950045875729536,-0.6458941130666561
30.20841646194458,-0.040978706176964856,-0.4375872112626925
40.037447929382324,-0.8619740908509392,-0.8917730007820798
40.71401619911194,-0.956339752088637,-0.9636627605010293
39.778836488723755,-0.11333234629685049,-0.3834415188257777
